Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority,Keyword Difficulty,Average CPC,Search Intent
14 tables math,62.6,19,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,50,1.53,Informational
best free ai for math,63.0,20,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,51,4.6,Commercial
best online tutoring companies,72.4,61,0,0.00%,2.00%,1,44.9,Long-term Target,Medium,46,3.34,Commercial
french 1 tutoring near me,63.1,20,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,20,3.48,Informational
laptops for toddlers,63.1,20,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,41,3.47,Commercial
3rd grade math tutoring,76.3,98,0,0.00%,2.00%,1,44.9,Long-term Target,Medium,32,4.06,Informational
camping games for kids,77.4,108,0,0.00%,2.00%,2,44.9,Long-term Target,Medium,17,1.16,Informational
best math tutoring websites,78.4,122,0,0.00%,2.00%,2,44.9,Long-term Target,Medium,46,3.62,Commercial
11th grade math tutoring,61.8,17,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,31,4.82,Informational
little miss chatterbox,65.6,27,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,26,1.56,Informational
ipad case for kids,69.9,46,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,25,1.07,Informational
do tutors really help,68.2,37,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,20,4.66,Informational
how can i become a math tutor,62.7,19,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,32,1.84,Informational
go math app,79.2,135,0,0.00%,2.00%,2,44.9,Long-term Target,Medium,36,1.41,Informational
best after school programs,59.0,12,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,41,1.69,Commercial
learning k-5,64.3,23,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,46,3.96,Informational
10 grade math tutor,80.5,154,0,0.00%,2.00%,3,44.9,Long-term Target,Medium,46,3.87,Informational
how to make child learn tables easily,63.6,21,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,5,2.0,Informational
how to be a great tutor,82.0,183,0,0.00%,2.00%,3,44.9,Long-term Target,Medium,5,3.19,Informational
math tutoring canada,86.4,297,0,0.00%,2.00%,5,44.9,Long-term Target,Medium,44,3.74,Informational
easy tutor erfahrungen,62.3,18,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,28,2.76,Informational
maths problem solving app,87.6,333,0,0.00%,2.00%,6,44.9,Long-term Target,Medium,22,1.71,Informational
american mathematical monthly,63.2,20,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,24,1.13,Informational
best ipad games for 7 year olds,63.2,20,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,41,1.69,Commercial
elon musk gaming,75.0,82,0,0.00%,2.00%,1,44.9,Long-term Target,Medium,32,1.59,Informational
summer program for toddlers,22.8,51,1,1.96%,0.04%,0,44.9,Content Optimization,Medium,22,0.69,Informational
get math help,68.0,36,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,49,1.4,Informational
child educational games,57.6,10,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,28,3.72,Informational
maths and science tuition,62.8,19,0,0.00%,2.00%,0,44.9,Long-term Target,Medium,33,1.68,Informational
educational math video games,70.1,46,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,22,2.43,Informational
claire's promo code,89.0,380,0,0.00%,2.00%,7,44.8,Long-term Target,Medium,48,3.12,Informational
how to make kids learn tables,64.4,23,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,23,1.6,Informational
communication games,87.2,312,0,0.00%,2.00%,6,44.8,Long-term Target,Medium,38,1.68,Informational
math learning ai,8.5,11,1,9.09%,0.00%,0,44.8,Long-term Target,Medium,54,7.98,Informational
math show for kids,60.4,14,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,32,1.1,Informational
educational app store,64.5,23,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,40,2.83,Informational
- homeschool software with custom reports,62.9,19,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,13,0.71,Informational
high school english and math tutors,62.9,19,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,22,2.49,Informational
ipad educational discount,70.7,49,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,29,4.32,Informational
chromebook for homeschool,60.5,14,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,28,1.47,Informational
maths tutoring cost,84.0,221,0,0.00%,2.00%,4,44.8,Long-term Target,Medium,48,4.41,Transactional
free trial chat line,67.5,33,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,56,1.7,Informational
3rd grade tutoring online,81.1,160,0,0.00%,2.00%,3,44.8,Long-term Target,Medium,29,3.12,Informational
best tutoring apps,69.7,43,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,70,7.83,Commercial
tutor ai free,22.8,63,3,4.76%,0.00%,0,44.8,Content Optimization,Medium,51,7.52,Informational
laptop for game development,59.9,13,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,38,2.08,Commercial
asd trade show preparation tools,66.7,30,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,10,0.9,Informational
india's best math teacher,66.7,30,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,46,2.23,Commercial
educational summer camps for kids,57.8,10,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,30,2.4,Informational
how to do multiplication in excel,85.7,265,0,0.00%,2.00%,5,44.8,Long-term Target,Medium,8,1.1,Informational
best math app for 3rd grade,66.5,29,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,40,1.44,Commercial
how much does maths tutoring cost,69.9,44,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,16,2.12,Transactional
educational simulation games,73.6,67,0,0.00%,2.00%,1,44.8,Long-term Target,Medium,30,2.51,Informational
maths online app,59.3,12,0,0.00%,2.00%,0,44.8,Long-term Target,Medium,39,1.93,Informational
home education tutors,89.9,400,0,0.00%,2.00%,8,44.8,Long-term Target,Medium,21,3.51,Informational
best home tutor,84.2,224,0,0.00%,2.00%,4,44.8,Long-term Target,Medium,52,5.15,Commercial
ai homeschool curriculum,65.4,25,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,31,3.82,Informational
early childhood education tutor,68.8,38,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,20,2.81,Informational
app.math,58.7,11,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,61,1.85,Informational
immerion promocode 2025,58.7,11,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,16,1.68,Informational
best camp games,70.6,47,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,56,2.49,Commercial
activities for after school program,14.7,23,1,4.35%,0.00%,0,44.7,Long-term Target,Medium,6,0.7,Informational
elementary math program,86.4,282,0,0.00%,2.00%,5,44.7,Long-term Target,Medium,21,1.33,Informational
3rd grade math app,82.3,181,0,0.00%,2.00%,3,44.7,Long-term Target,Medium,43,1.16,Informational
math websites for kids,90.7,434,0,0.00%,2.00%,8,44.7,Long-term Target,Medium,36,1.43,Informational
computer science tutoring,88.7,351,0,0.00%,2.00%,7,44.7,Long-term Target,Medium,38,4.4,Informational
chat gpt maths,66.7,29,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,42,1.23,Informational
age of 5th graders,76.2,91,0,0.00%,2.00%,1,44.7,Long-term Target,Medium,40,1.09,Informational
maths for 5 year olds,82.1,175,0,0.00%,2.00%,3,44.7,Long-term Target,Medium,26,1.52,Informational
math tutoring online jobs,67.0,30,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,21,3.47,Informational
educational birthday gift for 8 year old boy,70.1,44,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,24,2.8,Informational
is midnight 12pm,65.8,26,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,38,1.61,Informational
camping in a tesla,67.3,31,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,28,1.89,Informational
first for tutors,65.5,25,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,49,3.98,Informational
best kids learning tablet,88.0,330,0,0.00%,2.00%,6,44.7,Long-term Target,Medium,60,5.35,Commercial
easy way to remember multiplication tables,72.6,58,0,0.00%,2.00%,1,44.7,Long-term Target,Medium,16,0.72,Informational
best homeschool math curriculum,92.0,491,0,0.00%,2.00%,9,44.7,Long-term Target,Medium,52,1.26,Commercial
math tool,83.9,210,0,0.00%,2.00%,4,44.7,Long-term Target,Medium,60,1.71,Informational
free tutoring for elementary students near me,76.3,91,0,0.00%,2.00%,1,44.7,Long-term Target,Medium,47,1.86,Informational
elon musk online free,64.5,22,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,39,1.9,Informational
effective teamwork begins and ends with communication,60.9,14,0,0.00%,2.00%,0,44.7,Long-term Target,Medium,9,0.68,Informational
how to do multiplication,84.8,233,0,0.00%,2.00%,4,44.6,Long-term Target,Medium,10,1.48,Informational
in-home tutor,75.1,78,0,0.00%,2.00%,1,44.6,Long-term Target,Medium,47,3.25,Informational
enrichment math activities for gifted students,70.0,43,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,29,1.08,Informational
homeschooling in new mexico free,75.2,79,0,0.00%,2.00%,1,44.6,Long-term Target,Medium,26,0.71,Informational
ad astra game,69.0,38,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,21,1.66,Informational
ai education app,75.0,77,0,0.00%,2.00%,1,44.6,Long-term Target,Medium,64,5.89,Informational
kids reading table,78.1,109,0,0.00%,2.00%,2,44.6,Long-term Target,Medium,27,1.77,Informational
boys games for 6 year olds,64.6,22,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,23,1.15,Informational
6th grade math tutoring near me,62.0,16,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,21,2.68,Informational
can chat gpt do math,62.0,16,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,41,1.57,Informational
how to create a summer camp,71.5,50,0,0.00%,2.00%,1,44.6,Long-term Target,Medium,12,0.82,Informational
best educational apps for 10 year olds,67.4,31,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,35,4.03,Commercial
math for 8 year olds,65.0,23,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,39,1.38,Informational
after school tutoring programs near me,75.0,76,0,0.00%,2.00%,1,44.6,Long-term Target,Medium,19,2.77,Informational
math help websites,80.5,145,0,0.00%,2.00%,2,44.6,Long-term Target,Medium,49,1.69,Informational
dyslexia worksheets,70.3,44,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,35,1.85,Informational
math homeschool,84.4,218,0,0.00%,2.00%,4,44.6,Long-term Target,Medium,50,1.7,Informational
home based tutor,64.3,21,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,40,4.61,Informational
first tutoring,63.5,19,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,37,2.66,Informational
elon musk games,69.4,39,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,39,1.36,Informational
agility pronunciation,67.0,29,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,26,1.1,Informational
math camping worksheets,80.5,142,0,0.00%,2.00%,2,44.6,Long-term Target,Medium,30,1.78,Informational
best free ai for maths,59.8,12,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,45,5.56,Commercial
maths games reception,59.8,12,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,20,1.73,Informational
esa teacher,62.2,16,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,36,1.92,Informational
app to learn multiplication tables,61.7,15,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,18,2.07,Informational
ipad education apps,61.7,15,0,0.00%,2.00%,0,44.6,Long-term Target,Medium,32,2.87,Informational
baby syn,58.4,10,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,46,1.38,Informational
elon musk.school,10.5,13,1,7.69%,0.00%,0,44.5,Long-term Target,Medium,37,1.68,Informational
best math fact apps,73.4,61,0,0.00%,2.00%,1,44.5,Long-term Target,Medium,61,2.51,Commercial
coding summer camp near me,94.8,606,0,0.00%,2.00%,12,44.5,Long-term Target,Medium,25,0.92,Informational
holiday game ideas,81.9,163,0,0.00%,2.00%,3,44.5,Long-term Target,Medium,33,1.14,Informational
astra demo,76.1,85,0,0.00%,2.00%,1,44.5,Long-term Target,Medium,29,1.47,Informational
how much private tutors charge,84.1,205,0,0.00%,2.00%,4,44.5,Long-term Target,Medium,26,2.41,Informational
math tutoring jobs near me,61.2,14,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,39,2.56,Informational
4th grade math enrichment,68.4,34,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,39,1.24,Informational
hiring a homeschool teacher,60.6,13,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,21,0.63,Informational
flashcard lab,63.3,18,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,37,1.53,Informational
fractions kids,63.3,18,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,32,1.81,Informational
how to lock tesla with card,58.5,10,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,13,0.87,Informational
maths and science tutors near me,62.8,17,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,17,2.09,Informational
academic gaming,70.4,43,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,40,1.75,Informational
english and maths tutoring,69.0,36,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,29,1.67,Informational
laptops for 8 year olds,78.4,107,0,0.00%,2.00%,2,44.5,Long-term Target,Medium,45,3.14,Commercial
elon mush school,10.7,13,1,7.69%,0.00%,0,44.5,Long-term Target,Medium,25,1.77,Informational
basic math tutor,82.5,173,0,0.00%,2.00%,3,44.5,Long-term Target,Medium,36,3.82,Informational
amazon fire 7 kids,78.5,109,0,0.00%,2.00%,2,44.5,Long-term Target,Medium,34,1.94,Informational
free printable multiplication flash cards,68.5,34,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,32,0.94,Informational
free tutors near me,81.4,151,0,0.00%,2.00%,3,44.5,Long-term Target,Medium,63,3.11,Informational
ipad cover kids,66.0,25,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,22,1.27,Informational
home tutor for maths,74.2,66,0,0.00%,2.00%,1,44.5,Long-term Target,Medium,36,4.47,Informational
calculus tutor castaic ca,59.4,11,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,53,9.14,Informational
educational games educational games,59.4,11,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,29,2.72,Informational
french number worksheets,60.1,12,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,27,1.49,Informational
best multiplication apps for 3rd graders,69.5,38,0,0.00%,2.00%,0,44.5,Long-term Target,Medium,34,1.51,Commercial
homeschool tutoring online,83.5,192,0,0.00%,2.00%,3,44.4,Long-term Target,Medium,33,1.72,Informational
kids made here,77.2,94,0,0.00%,2.00%,1,44.4,Long-term Target,Medium,36,1.71,Informational
child education games,59.5,11,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,26,4.41,Informational
division flash cards,91.1,419,0,0.00%,2.00%,8,44.4,Long-term Target,Medium,24,1.77,Informational
children tutoring near me,63.0,17,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,22,3.74,Informational
maths online teaching,61.4,14,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,33,1.64,Informational
deep dyslexia,68.2,32,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,34,1.42,Informational
match free trial,65.1,22,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,52,1.35,Informational
amazon homeschool,64.8,21,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,28,1.58,Informational
elementary school teacher tutors,63.9,19,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,30,1.96,Informational
camping games,90.9,404,0,0.00%,2.00%,8,44.4,Long-term Target,Medium,28,1.53,Informational
maths learning,77.6,98,0,0.00%,2.00%,1,44.4,Long-term Target,Medium,46,3.96,Informational
ad astra education,67.7,30,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,47,2.71,Informational
camp group games,67.7,30,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,23,1.86,Informational
ancient greece facts for kids,62.1,15,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,29,0.87,Informational
best time to study maths,60.2,12,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,58,3.44,Commercial
does elon musk know how to code,59.5,11,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,5,1.0,Informational
how to tutor a child in reading,72.5,52,0,0.00%,2.00%,1,44.4,Long-term Target,Medium,5,1.79,Informational
how much is space camp,65.9,24,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,30,1.73,Informational
best android tablet for kids,79.7,123,0,0.00%,2.00%,2,44.4,Long-term Target,Medium,45,1.9,Commercial
android tablet for school,58.8,10,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,12,1.35,Informational
free ipad for teachers,58.8,10,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,33,1.6,Informational
elon musk educación,66.3,25,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,36,1.75,Informational
july summer camps,68.0,31,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,33,1.14,Informational
learning educational games,62.1,15,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,35,2.11,Informational
free elementary math lessons online,69.7,38,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,49,0.85,Informational
camp login,60.3,12,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,32,1.45,Informational
immersion camp,61.0,13,0,0.00%,2.00%,0,44.4,Long-term Target,Medium,32,1.16,Informational
best ai for school,87.6,292,0,0.00%,2.00%,5,44.4,Long-term Target,Medium,56,4.77,Commercial
mathematics tutorial,81.8,153,0,0.00%,2.00%,3,44.4,Long-term Target,Medium,41,4.36,Informational
learn anything online,77.6,97,0,0.00%,2.00%,1,44.3,Long-term Target,Medium,23,2.94,Informational
first tutora,63.7,18,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,36,3.81,Informational
mathematics teacher online,67.8,30,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,31,0.78,Informational
"briefly describe systems thinking, including synergy.",66.4,25,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,7,0.95,Informational
ai for kids education,58.9,10,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,46,7.2,Informational
math help site,61.6,14,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,43,1.32,Informational
maths course for kids,61.6,14,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,33,1.67,Informational
5 senses game,79.4,116,0,0.00%,2.00%,2,44.3,Long-term Target,Medium,38,1.54,Informational
math and science tutors,71.2,45,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,34,4.05,Informational
fractions lesson,78.5,104,0,0.00%,2.00%,2,44.3,Long-term Target,Medium,38,1.73,Informational
4th grade math app,82.6,166,0,0.00%,2.00%,3,44.3,Long-term Target,Medium,35,1.83,Informational
futurist training,79.0,110,0,0.00%,2.00%,2,44.3,Long-term Target,Medium,60,3.87,Informational
2nd grade reading tutor,61.1,13,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,23,3.08,Informational
hands on math,72.9,54,0,0.00%,2.00%,1,44.3,Long-term Target,Medium,39,1.05,Informational
how many repetitions to master a skill,77.0,89,0,0.00%,2.00%,1,44.3,Long-term Target,Medium,23,0.64,Informational
excel multiplication,79.3,115,0,0.00%,2.00%,2,44.3,Long-term Target,Medium,26,1.31,Informational
kids tools,80.0,125,0,0.00%,2.00%,2,44.3,Long-term Target,Medium,26,1.33,Informational
how to add unlike fractions,63.8,18,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,14,0.86,Informational
coding camps for kids,89.7,350,0,0.00%,2.00%,7,44.3,Long-term Target,Medium,24,1.67,Informational
canada tutor,80.1,126,0,0.00%,2.00%,2,44.3,Long-term Target,Medium,46,3.2,Informational
computer instructor,60.5,12,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,23,1.8,Informational
2nd grade tutoring online,72.8,53,0,0.00%,2.00%,1,44.3,Long-term Target,Medium,36,3.44,Informational
it tutoring,63.4,17,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,36,2.76,Informational
is beyond compare free,72.9,53,0,0.00%,2.00%,1,44.3,Long-term Target,Medium,47,2.14,Commercial
algebra 1 tutoring,90.7,392,0,0.00%,2.00%,7,44.3,Long-term Target,Medium,50,4.12,Informational
design thinking summer camp,71.7,47,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,15,0.88,Informational
easy ways to learn multiplication,74.8,67,0,0.00%,2.00%,1,44.3,Long-term Target,Medium,15,2.74,Informational
elon tuition and fees,63.4,17,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,27,1.15,Informational
algebra 2 tutoring online free,61.2,13,0,0.00%,2.00%,0,44.3,Long-term Target,Medium,51,2.88,Informational
critical thinking games,89.4,343,0,0.00%,2.00%,6,44.3,Long-term Target,Medium,28,1.57,Informational
french tutors for adults,76.3,80,0,0.00%,2.00%,1,44.3,Long-term Target,Medium,27,4.42,Informational
tutoring ai,20.2,39,1,2.56%,0.00%,0,44.3,Long-term Target,Medium,63,8.58,Informational
mathe ai,79.6,116,0,0.00%,2.00%,2,44.2,Long-term Target,Medium,84,2.69,Informational
easy way to teach times tables,81.6,148,0,0.00%,2.00%,2,44.2,Long-term Target,Medium,24,0.75,Informational
best summer camp in europe,73.8,59,0,0.00%,2.00%,1,44.2,Long-term Target,Medium,34,1.97,Commercial
check tutor,70.0,38,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,31,3.35,Informational
math computer programs for kids,60.7,12,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,32,0.89,Informational
math get to know you activity free,69.8,37,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,50,0.72,Informational
best apps for 2 3 year olds,61.9,14,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,40,1.45,Commercial
how to become maths tutor,61.9,14,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,17,3.02,Informational
learning tables for kids,67.3,27,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,34,3.63,Informational
best age to start coding,75.2,69,0,0.00%,2.00%,1,44.2,Long-term Target,Medium,32,3.12,Commercial
dahn,80.4,127,0,0.00%,2.00%,2,44.2,Long-term Target,Medium,44,1.23,Informational
best way to tutor online,67.6,28,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,41,8.65,Commercial
flashcards action,67.9,29,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,37,1.78,Informational
dynamics customer service free trial,82.0,150,0,0.00%,2.00%,3,44.2,Long-term Target,Medium,34,1.01,Informational
making math real,77.5,91,0,0.00%,2.00%,1,44.2,Long-term Target,Medium,37,1.36,Informational
best english tutoring,70.7,41,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,52,7.67,Commercial
math tutoring for 6th graders,73.7,57,0,0.00%,2.00%,1,44.2,Long-term Target,Medium,31,2.92,Informational
1 on 1 tutor,64.5,19,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,32,3.13,Informational
lifetime tables,76.9,84,0,0.00%,2.00%,1,44.2,Long-term Target,Medium,20,1.26,Informational
adastra digital,63.1,16,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,29,1.69,Informational
android kids games,63.1,16,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,20,1.56,Informational
junior high age range,62.6,15,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,18,1.56,Informational
math ai's,9.3,10,1,10.00%,0.00%,0,44.2,Long-term Target,Medium,71,2.68,Informational
focus camp,59.3,10,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,21,1.15,Informational
customer voice trial,64.1,18,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,36,1.25,Informational
best spanish tutor,71.9,47,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,61,4.83,Commercial
free tutors online,71.0,42,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,63,3.68,Informational
how did elon musk get started,64.6,19,0,0.00%,2.00%,0,44.2,Long-term Target,Medium,12,0.95,Informational
math apps for 1st graders,84.2,193,0,0.00%,2.00%,3,44.2,Long-term Target,Medium,29,1.94,Informational
5 senses worksheets for kindergarten,65.4,21,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,14,1.04,Informational
kumon maths,65.4,21,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,31,1.93,Informational
dhan referral,66.2,23,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,31,1.76,Informational
best online maths tuition,83.9,184,0,0.00%,2.00%,3,44.1,Long-term Target,Medium,46,3.04,Commercial
elon musk child,76.7,81,0,0.00%,2.00%,1,44.1,Long-term Target,Medium,34,1.29,Informational
games for kids 7,59.4,10,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,34,1.75,Informational
how old is elon musk kid,59.4,10,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,27,1.83,Informational
dhan referral code,75.4,69,0,0.00%,2.00%,1,44.1,Long-term Target,Medium,24,1.61,Informational
maths and english tutoring,90.6,373,0,0.00%,2.00%,7,44.1,Long-term Target,Medium,32,2.45,Informational
home tutoring services,88.2,293,0,0.00%,2.00%,5,44.1,Long-term Target,Medium,28,2.64,Informational
ai for mathematics,75.8,72,0,0.00%,2.00%,1,44.1,Long-term Target,Medium,70,2.62,Informational
math camp,91.0,391,0,0.00%,2.00%,7,44.1,Long-term Target,Medium,48,1.6,Informational
kids summer camps 2025,67.5,27,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,19,1.53,Informational
elon musk free digital download,68.1,29,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,45,1.07,Informational
best in class summer camp,64.2,18,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,37,2.41,Commercial
flash cards of numbers,83.3,170,0,0.00%,2.00%,3,44.1,Long-term Target,Medium,23,1.74,Informational
language tutor app,64.7,19,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,48,3.47,Informational
best algebra app,76.2,76,0,0.00%,2.00%,1,44.1,Long-term Target,Medium,56,3.48,Commercial
ai website for students,85.8,231,1,0.43%,1.57%,3,44.1,Long-term Target,Medium,36,2.53,Informational
maths en español,60.3,11,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,38,1.56,Informational
beyond compare 5,73.0,51,0,0.00%,2.00%,1,44.1,Long-term Target,Medium,33,2.69,Commercial
kids fire tablet 10,77.4,87,0,0.00%,2.00%,1,44.1,Long-term Target,Medium,31,1.47,Informational
flash cards multiplication,86.3,236,0,0.00%,2.00%,4,44.1,Long-term Target,Medium,24,0.74,Informational
math curriculum jobs remote,62.3,14,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,40,0.99,Informational
baby fully engaged and lots of pressure,73.7,55,0,0.00%,2.00%,1,44.1,Long-term Target,Medium,16,0.88,Informational
best apps for 11 year olds,62.9,15,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,36,1.87,Commercial
ai age app,60.4,11,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,45,2.74,Informational
french language tutors near me,60.4,11,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,27,1.96,Informational
best free multiplication apps for 4th graders,61.1,12,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,41,1.71,Commercial
baby sign language flash cards free download,59.6,10,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,37,0.81,Informational
kids holiday camps,68.3,29,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,32,1.47,Informational
free ipad games for 4 year olds,70.9,40,0,0.00%,2.00%,0,44.1,Long-term Target,Medium,28,1.11,Informational
kids learning laptop,77.2,84,0,0.00%,2.00%,1,44.0,Long-term Target,Medium,63,5.73,Commercial
