#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
2902,summer camp programs for kids,us,39,50,,,summer camps near me,2025-05-27 20:48:17,"Local teaser pack,Knowledge panel,People also ask,Discussions,Sitelinks",150,40000,42000,2017-02-27,"Informational,Non-branded,Non-local"
2903,how to do a comb over,us,3,50,0.70,0.88,come over hair cut,2025-05-30 09:07:28,"People also ask,Top stories,Thumbnail,Video preview,Sitelinks,Discussions",60,300,700,2015-09-16,"Informational,Non-branded,Non-local"
2904,dutch tutor,us,2,50,4.50,,dutch tutor,2025-05-11 15:56:56,"Top ads,Sitelinks,Bottom ads,Paid sitelinks",350,70,150,2015-09-06,"Informational,Commercial,Non-branded,Non-local"
2905,dad math,us,7,50,,,dadsworksheets,2025-05-17 05:01:46,"Sitelinks,Top stories,Thumbnail",70,2900,3300,2015-09-21,"Informational,Non-branded,Non-local"
2906,astro gaming promo code,us,10,50,0.20,1.58,astro promo code,2025-05-07 12:15:14,Sitelinks,100,200,200,2015-09-06,"Informational,Commercial,Transactional,Branded,Non-local"
2907,how much is a math tutor per hour,us,2,50,1.40,,math tutor rates,2025-05-28 08:13:29,"Sitelinks,People also ask,Discussions",90,600,600,2018-01-23,"Informational,Non-branded,Non-local"
2908,find me a tutor,us,77,50,6.00,,tutoring near me,2025-05-14 01:33:55,"Sitelinks,People also ask",250,5900,6300,2015-10-10,"Informational,Commercial,Transactional,Non-branded,Non-local"
2909,language tutor app,us,92,50,1.50,,italki,2025-05-07 17:54:13,"People also ask,Sitelinks,Top stories,Thumbnail,Video preview",100,40000,118000,2015-10-05,"Informational,Commercial,Non-branded,Non-local"
2910,best apps for homeschooling,us,1,50,3.00,,homeschool apps,2025-05-14 20:29:14,"Sitelinks,Discussions,People also ask,Top stories,Video preview",80,400,400,2015-11-30,"Informational,Non-branded,Non-local"
2911,camp with mom gameplay,us,0,50,,,camp with mom gameplay,2025-05-09 19:03:08,,1400,10,250,2021-06-16,"Informational,Branded,Non-local"
2912,amth ai,us,,50,,,,,,70,,,2023-09-23,
2913,black tutor cards,us,0,50,,1.11,black tutors mtg,2025-05-23 11:14:22,"Sitelinks,Thumbnail",80,900,1100,2015-10-18,"Informational,Non-branded,Non-local"
2914,card games for 7 year olds,us,3,50,0.30,,card games for kids,2025-05-13 16:22:23,"Thumbnail,People also ask,Shopping,Sitelinks,Top stories",100,4200,8800,2017-08-26,"Informational,Commercial,Non-branded,Non-local"
2915,how to become a critical thinker,us,54,50,0.80,1.39,how to develop critical thinking skills,2025-06-01 21:52:27,"Sitelinks,People also ask,Top stories,Thumbnail",150,1300,2200,2015-09-09,"Informational,Non-branded,Non-local"
2916,family worksheets for kindergarten,us,0,50,,,all about my family worksheet,2025-05-30 00:10:30,Sitelinks,900,150,350,2015-09-18,"Informational,Non-branded,Non-local"
2917,como primary school,us,0,50,,,como primary school,2025-05-18 07:31:27,"Thumbnail,Sitelinks,Knowledge panel",80,20,20,2020-01-19,"Informational,Non-branded,Local"
2918,free trial games,us,59,50,0.60,0.8,ubisoft games,2025-05-30 16:25:05,"People also ask,Sitelinks",1300,1500,1500,2015-09-11,"Informational,Non-branded,Non-local"
2919,how to teach math online,us,3,50,1.30,,how to teach math online,2025-05-18 07:19:19,"People also ask,Sitelinks,Top stories,Thumbnail,Video preview",150,30,50,2017-11-06,"Informational,Non-branded,Non-local"
2920,best app to learn math,us,21,50,1.40,,math apps for adults,2025-05-09 17:34:21,"Sitelinks,People also ask,Discussions,Top stories,Video preview",150,600,800,2016-01-23,"Informational,Non-branded,Non-local"
2921,free spanish flashcards,us,15,50,0.60,1.16,spanish flashcards,2025-05-28 19:15:50,Sitelinks,60,900,1000,2015-09-11,"Informational,Non-branded,Non-local"
2922,tutor for maths,us,45,50,,,mathnasium,2025-05-19 03:06:19,"Local pack,People also ask,Sitelinks,Top stories,Video preview",200,44000,48000,2020-01-11,"Informational,Commercial,Non-branded,Non-local"
2923,linkedin cultivating mental agility videos,us,,50,,,,,,60,,,2024-10-10,
2924,apps for adhd kids,us,4,50,,,apps for adhd kids,2025-06-01 11:53:04,"Sitelinks,People also ask,Discussions",80,50,70,2019-02-18,"Informational,Non-branded,Non-local"
2925,is 50mbps good for gaming,us,1,50,3.50,,is 50 mbps fast,2025-05-30 05:03:24,"AI overview,Thumbnail,Sitelinks,People also ask",150,1700,3100,2015-10-15,"Informational,Non-branded,Non-local"
2926,escola games,us,0,50,,0.97,jogos educativos,2025-05-12 03:31:36,Sitelinks,98000,200,168000,2015-09-04,"Informational,Branded,Non-local"
2927,math warm up games,us,1,50,0.45,,math warm ups,2025-05-22 14:10:18,"Sitelinks,Discussions",150,200,300,2017-09-25,"Informational,Non-branded,Non-local"
2928,best online learning platforms for elementary students,us,73,50,4.50,,best online learning platforms for elementary students,2025-05-29 22:28:28,"People also ask,Sitelinks",100,100,150,2019-04-15,"Informational,Non-branded,Non-local"
2929,join 999 math,us,,50,,,,,,60,,,2021-01-22,
2930,maths online tutor,us,64,50,0.00,,online math tutoring,2025-05-11 20:47:04,"Sitelinks,People also ask",250,6300,6800,2020-01-09,"Informational,Commercial,Transactional,Non-branded,Non-local"
2931,free tutors for kids near me,us,,50,,,,,,50,,,2024-06-25,
2932,mathematics teaching,us,3,50,2.50,,mathematical teaching practices,2025-05-15 02:01:53,"AI overview,Thumbnail,People also ask,Sitelinks",250,150,200,2015-09-22,"Informational,Non-branded,Non-local"
2933,maths learning,us,94,50,0.00,,math,2025-05-29 12:41:29,"AI overview,Thumbnail,Sitelinks,Knowledge panel,People also ask,Top stories",400,52000,85000,2017-03-07,"Informational,Non-branded,Non-local"
2934,free math programs online,us,82,50,2.00,,math lessons site,2025-06-04 00:32:43,"AI overview,Thumbnail,Sitelinks,People also ask",60,2900,3400,2016-02-19,"Informational,Non-branded,Non-local"
2935,easy camp games,us,1,50,0.15,,easy camp games,2025-05-10 11:56:11,"Thumbnail,People also ask,Sitelinks",100,80,100,2017-03-17,"Informational,Non-branded,Non-local"
2936,best math tutoring program,us,56,50,8.00,,mathnasium,2025-05-28 01:47:11,"AI overview,Thumbnail,Sitelinks,People also ask",90,42000,46000,2020-02-08,"Informational,Commercial,Non-branded,Non-local"
2937,math ai],us,,50,,,,,,60,,,2023-11-13,
2938,ad astra online,us,45,50,,0.73,watch ad astra (film),2025-05-23 14:17:53,"People also ask,Knowledge panel,Sitelinks,Thumbnail",450,450,450,2019-09-19,"Informational,Non-branded,Non-local"
2939,child tutoring,us,88,50,,,sylvan,2025-06-06 03:00:57,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail",150,18000,20000,2015-09-02,"Informational,Commercial,Non-branded,Non-local"
2940,baby sensory classes,us,10,50,,,sensory classes,2025-05-22 02:57:09,"Sitelinks,People also ask,Discussions,Local pack",1100,200,1200,2017-01-03,"Informational,Non-branded,Non-local"
2941,after school math,us,48,50,,,kumon,2025-05-27 14:28:05,"Local pack,Sitelinks,People also ask",100,34000,44000,2017-08-22,"Informational,Commercial,Non-branded,Non-local"
2942,how to get into tutoring,us,37,50,1.20,,how to become a tutor as a student,2025-05-13 05:56:24,"Sitelinks,People also ask,Discussions",150,40,40,2015-11-03,"Informational,Non-branded,Non-local"
2943,after-school activities,us,6,50,,,after school activities,2025-05-30 19:01:21,"People also ask,Sitelinks",200,1600,2100,2015-11-13,"Informational,Non-branded,Non-local"
2944,how to find a tutor for my child,us,14,50,,,how to find a good tutor,2025-05-31 22:29:52,"Featured snippet,Thumbnail,People also ask,Sitelinks",70,10,10,2015-10-22,"Informational,Non-branded,Non-local"
2945,math helper free,us,85,50,0.00,,math solver,2025-05-15 12:05:04,Sitelinks,60,679000,1150000,2015-09-04,"Informational,Non-branded,Non-local"
2946,english and maths tutor near me,us,46,50,9.00,,math tutor near me,2025-06-05 21:54:05,"Local pack,People also ask,Sitelinks",300,4400,4600,2020-03-05,"Informational,Commercial,Non-branded,Local"
2947,math class for kids,us,87,50,,,khan academy,2025-06-02 09:30:13,"Local pack,Sitelinks,People also ask",150,1640000,2370000,2015-09-04,"Informational,Non-branded,Non-local"
2948,how to learn mathematics,us,8,50,0.90,0.88,how to be good at math,2025-05-08 21:51:23,"AI overview,Thumbnail,Featured snippet,People also ask,Sitelinks,Top stories,Video preview",450,2900,7300,2015-09-17,"Informational,Non-branded,Non-local"
2949,best game apps for adhd adults,us,18,50,2.50,,adhd games for adults,2025-05-20 18:12:23,"People also ask,Sitelinks,Discussions",80,150,200,2020-04-23,"Informational,Non-branded,Non-local"
2950,algebra 2 tutoring online free,us,50,50,2.50,,algebra 2 tutor,2025-05-28 05:06:42,Sitelinks,50,150,150,2016-12-28,"Informational,Non-branded,Non-local"
2951,immersion camp,us,0,50,0.40,,jiu jitsu camp,2025-05-13 05:08:27,"People also ask,Sitelinks",100,20,20,2017-03-24,"Informational,Non-branded,Non-local"
2952,leadership training games,us,4,50,0.70,,leadership games,2025-06-01 02:21:23,"Featured snippet,AI overview,Sitelinks,Discussions,People also ask",150,500,1000,2016-11-19,"Informational,Non-branded,Non-local"
2953,educational school games,us,93,50,,,educational games,2025-05-15 10:53:45,"Thumbnail,Sitelinks,People also ask",70,7600,13000,2020-01-12,"Informational,Non-branded,Non-local"
2954,e tutoring,us,8,50,0.90,,etutoring,2025-05-31 14:06:21,Sitelinks,150,100,100,2015-09-30,"Informational,Branded,Non-local"
2955,360 graders feedback,us,39,50,,,360 feedback assessment,2025-05-10 12:21:16,"AI overview,Thumbnail,People also ask,Sitelinks,Discussions",200,2000,3400,2020-01-21,"Informational,Non-branded,Non-local"
2956,best free educational apps for toddlers,us,62,50,,,best apps for 2-3 year olds free,2025-06-05 22:28:35,"People also ask,Sitelinks,Discussions",60,3400,4000,2017-03-14,"Informational,Non-branded,Non-local"
2957,extracurricular activities for 4 year olds,us,2,50,1.40,,extra curricular activities for kids,2025-05-12 01:51:42,"People also ask,Sitelinks",70,100,150,2015-09-03,"Informational,Non-branded,Non-local"
2958,999 math.com,us,,50,,,,,,50,,,2021-10-15,
2959,homeschool tutoring near me,us,0,50,3.50,,homeschool tutors,2025-05-28 20:42:53,"Local pack,People also ask,Sitelinks",70,350,350,2018-07-12,"Informational,Commercial,Non-branded,Local"
2960,best desktop for kids,us,1,40,,,pc for kids-10 years old,2025-05-30 00:08:25,"Thumbnail,People also ask,Sitelinks,Discussions,Top stories",60,150,200,2016-06-26,"Informational,Commercial,Non-branded,Non-local"
2961,engineering summer camps near me,us,12,40,1.30,,engineering summer camps,2025-06-05 18:19:34,"Local pack,Sitelinks,People also ask",70,300,300,2016-06-20,"Informational,Non-branded,Local"
2962,best educational games for 4 year olds,us,6,40,0.80,,best educational toys for 3 year olds,2025-05-20 19:14:07,"Top ads,Paid sitelinks,Shopping,Thumbnail,Sitelinks,People also ask,Discussions,Top stories,Bottom ads",90,1700,1800,2015-11-05,"Informational,Commercial,Non-branded,Non-local"
2963,is algebra useful in real life,us,1,40,,,how is algebra used in real life,2025-05-14 05:24:21,"People also ask,Sitelinks",100,400,700,2021-09-15,"Informational,Non-branded,Non-local"
2964,maths tutor for adults,us,5,40,0.00,,online math tutoring,2025-06-05 00:37:05,"People also ask,Sitelinks",150,5600,10000,2020-02-26,"Informational,Commercial,Non-branded,Non-local"
2965,ad astra school reviews,us,8,40,,,ad astra school reviews,2025-05-28 02:54:25,"Sitelinks,People also ask",50,20,20,2019-05-18,"Informational,Branded,Non-local"
2966,manipulatives for fractions,us,14,40,,0.65,teaching fractions with manipulatives,2025-06-02 08:12:22,"AI overview,Thumbnail,People also ask,Sitelinks",50,50,60,2015-09-03,"Informational,Non-branded,Non-local"
2967,after school programs ideas,us,3,40,,,after school activities,2025-05-27 14:39:12,"People also ask,Sitelinks,Top stories,Video preview",60,1600,2100,2015-10-02,"Informational,Non-branded,Non-local"
2968,fun activities for after school program,us,2,40,,,after school activities ideas for elementary,2025-06-02 22:31:34,"People also ask,Sitelinks",50,450,500,2019-09-24,"Informational,Non-branded,Non-local"
2969,algebra homework helper,us,83,40,1.10,,algebra homework help,2025-05-10 03:54:44,Sitelinks,60,300,300,2018-02-21,"Informational,Non-branded,Non-local"
2970,ai for spanish homework,us,,40,,,,,,50,,,2023-10-03,
2971,high school math tutor online,us,43,40,,,online math tutor,2025-05-23 03:06:54,"People also ask,Sitelinks",100,4800,9400,2017-10-30,"Informational,Commercial,Non-branded,Non-local"
2972,math curriculum for dyslexia,us,2,40,1.10,,best math curriculum for dyslexia,2025-06-02 01:38:53,"AI overview,People also ask,Sitelinks",40,60,60,2017-05-30,"Informational,Non-branded,Non-local"
2973,home school tutors,us,5,40,,,private teacher,2025-05-13 14:38:32,"Local pack,People also ask,Sitelinks",200,1600,1700,2016-02-18,"Informational,Commercial,Non-branded,Non-local"
2974,how tesla referral works,us,3,40,,,tesla referral code,2025-05-27 16:54:13,"AI overview,People also ask,Discussions,Sitelinks",60,13000,14000,2021-03-16,"Informational,Branded,Non-local"
2975,maths coaching,us,69,40,3.50,,mathnasium,2025-05-13 20:38:24,"Local pack,People also ask,Sitelinks,Top stories,Thumbnail",450,43000,47000,2016-10-07,"Informational,Commercial,Non-branded,Non-local"
2976,adhd homeschool schedule,us,3,40,1.50,,homeschool adhd schedule,2025-05-11 12:57:42,"Thumbnail,People also ask",60,60,60,2018-06-29,"Informational,Non-branded,Non-local"
2977,become a online tutor,us,75,40,0.00,,online tutoring jobs,2025-06-05 22:28:07,"People also ask,Sitelinks",150,28000,51000,2016-01-30,"Informational,Non-branded,Non-local"
2978,kids tutoring online,us,81,40,,,online tutoring for kids,2025-05-09 19:14:03,"Sitelinks,People also ask,Discussions",50,1500,1600,2019-10-22,"Informational,Commercial,Non-branded,Non-local"
2979,best kids learning tablet,us,20,40,,,best tablet for kids,2025-05-19 01:35:12,"Top ads,Sitelinks,People also ask,Shopping,Thumbnail,Discussions,Bottom ads,Paid sitelinks",100,600,1800,2015-09-08,"Informational,Commercial,Non-branded,Non-local"
2980,math tutor in person near me,us,9,40,11.00,,jennifer favorite arlington wa,2025-05-27 23:29:16,"Local pack,People also ask,Sitelinks",50,0,0,2022-03-28,"Informational,Commercial,Transactional,Non-branded,Local"
2981,fraction lessons,us,2,40,0.70,1.08,fractions,2025-05-08 01:44:47,"Sitelinks,Top stories,Video preview",70,1900,2500,2015-11-08,"Informational,Non-branded,Non-local"
2982,english tutor cost,us,,40,1.00,,,,,70,,,2016-07-08,"Informational,Non-branded,Non-local"
2983,how to find a math tutor for your child,us,22,40,,,mathnasium,2025-05-23 08:33:48,"Sitelinks,People also ask,Discussions",90,41000,45000,2015-10-06,"Informational,Non-branded,Non-local"
2984,beyond compare free alternative,us,3,40,,,beyond compare alternative,2025-05-17 15:33:31,"Sitelinks,People also ask",150,60,80,2015-11-30,"Informational,Branded,Non-local"
2985,4th grade math tutoring,us,1,40,,,4th grade math tutor,2025-05-09 12:54:00,"People also ask,Sitelinks",70,250,250,2015-10-31,"Informational,Commercial,Non-branded,Non-local"
2986,maths a level tutor,us,11,40,7.00,,a level math tuition,2025-05-30 14:00:35,"People also ask,Sitelinks",200,150,500,2020-01-12,"Informational,Commercial,Transactional,Non-branded,Non-local"
2987,first in math sign up,us,79,40,,,first in math,2025-05-16 06:41:16,"Sitelinks,People also ask",90,34000,45000,2015-09-29,"Navigational,Transactional,Branded,Non-local"
2988,math instructor,us,4,40,0.60,,math professor jobs,2025-06-02 20:41:38,"People also ask,Videos,Sitelinks",90,400,400,2015-12-17,"Informational,Non-branded,Non-local"
2989,matg ai,us,,40,,,,,,70,,,2023-09-14,
2990,mathematics flashcards,us,28,40,0.35,,factmonster flashcards,2025-05-29 19:37:06,"Shopping,Thumbnail,Sitelinks,Top stories,Video preview",100,13000,14000,2019-09-19,"Informational,Commercial,Non-branded,Non-local"
2991,blessing neurology,us,0,40,,,blessing neurology,2025-05-19 04:11:47,"People also ask,Knowledge panel",50,20,20,2021-03-17,"Informational,Branded,Non-local"
2992,homeschool space,us,2,40,0.35,,homeschool room ideas,2025-05-15 00:55:19,"People also ask,Top stories,Video preview,Thumbnail,Sitelinks",40,1000,1000,2015-12-04,"Informational,Non-branded,Non-local"
2993,affordable tutoring for kids,us,,40,,,,,,50,,,2024-03-21,
2994,further maths tuition,us,,40,,,,,,100,,,2020-01-22,
2995,homeschooling teacher,us,,40,3.00,,,,,80,,,2016-02-03,"Informational,Non-branded,Non-local"
2996,kindle education,us,1,40,,,kindle education,2025-05-13 23:33:51,"Sitelinks,People also ask,Top stories",50,20,20,2016-04-07,"Informational,Branded,Non-local"
2997,math and tutor,us,,40,6.00,,,,,100,,,2020-03-31,
2998,how to teach numbers to preschoolers,us,3,40,1.00,,how to teach numbers,2025-05-28 12:13:41,"AI overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",80,250,450,2015-11-11,"Informational,Non-branded,Non-local"
2999,mathematics learning,us,85,40,1.20,,math,2025-06-02 22:41:31,"AI overview,Thumbnail,People also ask,Top stories,Sitelinks",150,42000,74000,2015-10-01,"Informational,Non-branded,Non-local"
3000,learning programs for 6 year olds,us,94,40,,,khan academy kids,2025-05-28 16:36:26,"People also ask,Discussions,Sitelinks",70,16000,19000,2016-09-14,"Informational,Non-branded,Non-local"
3001,learning for kids free,us,97,40,,,starfall,2025-05-28 20:53:32,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview,Discussions",80,444000,471000,2016-01-23,"Informational,Non-branded,Non-local"
3002,kindle $45 promo code,us,28,40,,,kindle coupon,2025-06-02 11:49:04,"Sitelinks,People also ask",70,900,1200,2022-01-11,"Informational,Commercial,Transactional,Branded,Non-local"
3003,homeschool math curriculum reviews,us,7,40,1.50,1.06,best homeschool math curriculum,2025-05-11 05:06:04,"AI overview,Thumbnail,People also ask,Sitelinks,Discussions,Top stories,Video preview",50,700,800,2015-09-02,"Informational,Non-branded,Non-local"
3004,educational app store,us,48,40,0.50,,educational app store,2025-05-14 17:35:39,"Sitelinks,Knowledge panel",200,40,60,2015-11-27,"Informational,Branded,Non-local"
3005,english tutor price,us,,40,1.00,,,,,90,,,2017-07-13,"Informational,Non-branded,Non-local"
3006,goodbye card for teacher,us,0,40,,,goodbye teacher cards,2025-05-08 17:50:50,"People also ask,Thumbnail,Sitelinks,Shopping,Discussions",350,100,1400,2016-02-25,"Informational,Commercial,Non-branded,Non-local"
3007,5 year old educational games,us,81,40,,,kindergarten games,2025-05-21 18:22:17,"Thumbnail,Shopping,Sitelinks,People also ask,Top stories",80,9800,13000,2016-10-09,"Informational,Commercial,Non-branded,Non-local"
3008,camp for preschoolers,us,,40,,,,,,40,,,2020-02-13,
3009,best video games for 6 year olds,us,23,40,0.50,,video games for 5 year olds,2025-05-30 13:36:32,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",50,300,300,2016-03-02,"Informational,Non-branded,Non-local"
3010,geometry tutors online,us,4,40,11.00,,geometry tutor,2025-05-19 06:34:24,"People also ask,Discussions,Sitelinks",80,600,700,2016-02-10,"Informational,Commercial,Non-branded,Non-local"
3011,best ai language tutor,us,,40,,,,,,150,,,2023-06-24,
3012,maths problem solving app,us,88,40,1.00,,photo math,2025-06-03 00:18:42,"People also ask,Sitelinks",200,15000,15000,2020-01-10,"Informational,Non-branded,Non-local"
3013,educational apps for 7 year olds,us,76,40,1.60,,educational apps for kids,2025-05-09 01:26:21,"Sitelinks,People also ask,Discussions,Thumbnail,Top stories,Video preview",70,7500,11000,2016-06-27,"Informational,Non-branded,Non-local"
3014,black friday kids tablet,us,2,40,,,kids tablets on sale,2025-05-28 04:20:30,"Shopping,Thumbnail,People also ask,Sitelinks",60,300,300,2016-11-24,"Informational,Commercial,Transactional,Non-branded,Non-local"
3015,camp activity ideas,us,1,40,0.10,0.89,summer camp activities,2025-05-13 00:22:31,"Thumbnail,Sitelinks,People also ask,Top stories,Video preview",80,4000,9000,2015-09-15,"Informational,Non-branded,Non-local"
3016,math for children,us,89,40,,,math for children,2025-05-08 08:12:00,"Sitelinks,Top stories,Video preview,Thumbnail",200,20,30,2016-01-28,"Informational,Non-branded,Non-local"
3017,best tutoring apps,us,17,40,2.00,,best online tutoring,2025-05-30 03:42:55,"People also ask,Sitelinks,Discussions",90,800,1000,2016-03-23,"Informational,Commercial,Non-branded,Non-local"
3018,how much does a kindergarten teacher make per month,us,6,40,,,kindergarten teacher salary,2025-05-30 09:03:31,People also ask,50,350,350,2022-06-01,"Informational,Non-branded,Non-local"
3019,kids tutoring center,us,78,40,,,sylvan,2025-05-12 12:18:37,"Local pack,People also ask,Sitelinks,Thumbnail",40,19000,21000,2016-02-29,"Informational,Commercial,Non-branded,Non-local"
3020,baby learning apps,us,48,40,,,baby learning games,2025-05-11 08:29:28,"Thumbnail,People also ask",90,40,40,2015-12-08,"Informational,Commercial,Non-branded,Non-local"
3021,6th grade math tutoring,us,3,40,,,6th grade math tutor,2025-05-10 22:13:12,"People also ask,Sitelinks",70,150,150,2016-04-11,"Informational,Commercial,Non-branded,Non-local"
3022,maths for 5 year olds worksheets,us,22,40,0.60,,math worksheets,2025-05-23 07:15:43,"Sitelinks,Thumbnail,People also ask",200,30000,50000,2017-11-13,"Informational,Non-branded,Non-local"
3023,ai in math education,us,5,40,,,ai in math education,2025-05-22 02:30:14,"People also ask,Sitelinks",50,40,50,2023-03-16,"Informational,Non-branded,Non-local"
3024,fast strategy,us,5,40,0.10,,fast strategy,2025-05-28 17:17:04,"People also ask,Sitelinks,Discussions",100,10,10,2017-08-09,"Informational,Non-branded,Non-local"
3025,calculus tutors online,us,12,40,10.00,,calculus tutoring,2025-05-13 02:00:11,"Sitelinks,People also ask",60,600,700,2016-12-03,"Informational,Commercial,Transactional,Non-branded,Non-local"
3026,best math app for 3rd grade,us,22,40,,,best math apps for 3rd grade,2025-05-30 13:06:04,"Sitelinks,People also ask",40,60,60,2018-02-25,"Informational,Commercial,Non-branded,Non-local"
3027,best homeschool math curriculum for dyscalculia,us,0,40,3.00,,best homeschool math curriculum for dyscalculia,2025-05-15 03:52:41,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions",50,50,50,2018-02-27,"Informational,Non-branded,Non-local"
3028,how does the tesla referral program work,us,,40,,,,,,60,,,2019-09-29,
3029,free online games for toddlers age 2,us,79,40,,0.96,kids games: for toddlers 3-5,2025-05-27 19:12:47,"Sitelinks,Thumbnail,People also ask,Discussions",80,6800,9000,2015-10-26,"Informational,Non-branded,Non-local"
3030,elon as a kid,us,3,40,,,elon musk,2025-05-28 19:45:59,"People also ask,Top stories,Thumbnail,Sitelinks",50,455000,860000,2020-02-11,"Informational,Non-branded,Non-local"
3031,best summer enrichment programs for kids,us,,40,,,,,,50,,,2024-12-27,
3032,does speed have a daughter,us,0,40,,,ishowspeed daughter,2025-05-11 23:22:42,"AI overview,Thumbnail,People also ask",150,700,800,2021-06-09,"Informational,Non-branded,Non-local"
3033,cheap math tutors near me,us,22,40,6.00,,math tutors near me,2025-05-14 06:49:55,"Local pack,People also ask,Discussions,Sitelinks",60,3400,3500,2018-06-13,"Informational,Commercial,Non-branded,Local"
3034,math enrichment programs near me,us,14,40,7.00,,kumon,2025-05-14 10:40:09,"People also ask,Knowledge panel,Sitelinks",80,34000,39000,2020-01-10,"Informational,Non-branded,Local"
3035,founder of mathematics,us,15,40,0.30,,who is the father of mathematics,2025-05-28 04:06:48,"Featured snippet,People also ask,Sitelinks",1100,400,8600,2015-10-18,"Informational,Non-branded,Non-local"
3036,hire tutor,us,76,40,2.00,,school tutors near me,2025-05-29 06:44:40,"Local pack,Sitelinks,People also ask",80,0,0,2016-11-25,"Informational,Commercial,Transactional,Non-branded,Non-local"
3037,early childhood tutoring,us,8,40,2.50,,preschool tutor,2025-05-30 11:11:05,"Local pack,People also ask",60,200,200,2017-07-05,"Informational,Non-branded,Non-local"
3038,beyond compare free download,us,6,40,0.15,,beyond compare download,2025-06-02 14:12:52,"Sitelinks,People also ask",1100,1300,4100,2016-03-23,"Navigational,Branded,Non-local"
3039,free math tutoring for kids,us,,40,,,,,,40,,,2019-08-12,"Informational,Non-branded,Non-local"
3040,astro gaming customer service,us,3,40,0.20,0.81,astro support,2025-05-20 20:33:28,"Sitelinks,People also ask,Knowledge panel",40,400,450,2015-10-13,"Informational,Branded,Non-local"
3041,elementary reading tutor,us,13,40,4.50,,reading tutor,2025-05-31 03:21:05,"Local pack,People also ask",60,1800,2100,2016-03-06,"Informational,Commercial,Non-branded,Non-local"
3042,app education,us,84,40,0.90,,apple education,2025-05-08 00:11:43,"Sitelinks,People also ask,Knowledge panel",350,42000,57000,2016-02-09,"Informational,Non-branded,Non-local"
3043,maths and science tutor,us,36,40,3.00,,math tutor,2025-05-14 16:00:53,Sitelinks,1000,1100,3000,2019-07-15,"Informational,Commercial,Non-branded,Non-local"
3044,ai for kids learning,us,,40,,,,,,100,,,2024-04-18,
3045,kidz camp,us,10,40,,,free summer camps in delaware county pa,2025-05-13 07:09:37,"Sitelinks,People also ask,Knowledge panel,Top stories,Thumbnail,Video preview",200,0,0,2016-01-18,"Informational,Branded,Non-local"
3046,gaming summer camps near me,us,12,40,1.40,,esports summer camps,2025-05-14 02:33:51,"Local teaser pack,People also ask,Sitelinks",70,150,150,2018-06-15,"Informational,Non-branded,Local"
3047,best maths tuition,us,,40,,,,,,150,,,2020-03-15,"Informational,Commercial,Non-branded,Non-local"
3048,maths tutoring cost,us,2,40,,,how much does a math tutor cost,2025-05-07 14:01:12,"Sitelinks,People also ask",100,500,600,2022-02-27,"Informational,Non-branded,Non-local"
3049,elon musk new software,us,,40,,,,,,90,,,2021-02-15,
3050,ipad educational games,us,42,40,0.80,,ipad educational games,2025-05-10 11:07:52,"Sitelinks,People also ask,Discussions,Shopping,Thumbnail",40,80,80,2016-08-10,"Informational,Branded,Non-local"
3051,best apps for first graders,us,44,40,2.00,,educational apps for kids,2025-05-13 19:59:36,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions",60,7000,10000,2016-01-06,"Informational,Non-branded,Non-local"
3052,math a i,us,,40,,,,,,60,,,2023-09-01,
3053,kindergarten tutor cost,us,15,40,2.50,,tutoring rates per hour elementary,2025-05-13 03:31:15,"People also ask,Sitelinks",40,2700,3000,2020-01-27,"Informational,Non-branded,Non-local"
3054,iowa homeschooling,us,11,40,3.50,,homeschooling in iowa,2025-05-22 14:08:39,"People also ask,Sitelinks",70,500,500,2015-09-05,"Informational,Non-branded,Local"
3055,how to tutor a child in reading,us,17,40,,,how to tutor reading,2025-05-10 05:56:48,"AI overview,Thumbnail,People also ask,Sitelinks,Discussions,Top stories,Video preview",90,100,150,2017-03-22,"Informational,Non-branded,Non-local"
3056,free reading tutoring for kids,us,,40,,,,,,50,,,2024-04-03,
3057,lifetime card tables,us,,40,,,,,,40,,,2017-07-23,"Informational,Commercial,Branded,Non-local"
3058,holiday tutoring,us,,40,,,,,,150,,,2020-03-04,
3059,math tutoring companies,us,89,40,3.50,,mathnasium,2025-05-10 04:48:05,"Local pack,People also ask,Sitelinks",70,43000,45000,2015-09-30,"Informational,Commercial,Non-branded,Non-local"
3060,ai reading tutor,us,,40,,,,,,40,,,2023-05-04,
3061,summer programs for children,us,45,40,,,summer camps near me,2025-05-27 22:55:00,"Local teaser pack,Discussions,Sitelinks",100,40000,42000,2016-04-18,"Informational,Non-branded,Non-local"
3062,math tutor for high school,us,8,40,,,math tutoring for high school students,2025-05-22 23:21:01,"Local pack,People also ask,Sitelinks,Top stories,Thumbnail",60,600,700,2018-08-22,"Informational,Commercial,Non-branded,Non-local"
3063,best in class tutoring,us,4,40,2.50,,best in class education center,2025-05-14 11:54:42,Sitelinks,50,300,450,2016-01-12,"Informational,Commercial,Non-branded,Non-local"
